[2008-04-30 12:39:18]	SOCKET 连接创建失败
[2008-04-30 12:39:19]	SOCKET 连接创建失败
[2008-04-30 12:39:19]	SOCKET 连接创建失败
[2008-04-30 12:39:19]	SOCKET 连接创建失败
[2008-04-30 12:39:19]	SOCKET 连接创建失败
[2008-04-30 12:39:20]	SOCKET 连接创建失败
[2008-04-30 12:39:21]	SOCKET 连接创建失败
[2008-04-30 12:39:21]	SOCKET 连接创建失败
[2008-04-30 12:39:21]	SOCKET 连接创建失败
[2008-04-30 12:39:21]	SOCKET 连接创建失败
[2008-04-30 12:39:22]	SOCKET 连接创建失败
[2008-04-30 12:39:23]	SOCKET 连接创建失败
[2008-04-30 12:39:23]	SOCKET 连接创建失败
[2008-04-30 12:39:23]	SOCKET 连接创建失败
[2008-04-30 12:39:23]	SOCKET 连接创建失败
[2008-04-30 12:39:24]	SOCKET 连接创建失败
[2008-04-30 12:39:24]	SOCKET 连接创建失败
[2008-04-30 12:39:24]	SOCKET 连接创建失败
[2008-04-30 12:39:24]	SOCKET 连接创建失败
[2008-04-30 12:39:25]	SOCKET 连接创建失败
[2008-04-30 12:39:26]	SOCKET 连接创建失败
[2008-04-30 12:39:26]	SOCKET 连接创建失败
[2008-04-30 12:39:26]	SOCKET 连接创建失败
[2008-04-30 12:39:27]	SOCKET 连接创建失败
[2008-04-30 12:39:27]	SOCKET 连接创建失败
[2008-04-30 12:39:27]	SOCKET 连接创建失败
[2008-04-30 12:39:27]	SOCKET 连接创建失败
[2008-04-30 12:39:28]	SOCKET 连接创建失败
[2008-04-30 12:39:28]	SOCKET 连接创建失败
[2008-04-30 12:39:28]	SOCKET 连接创建失败
[2008-04-30 12:39:29]	SOCKET 连接创建失败
[2008-04-30 12:39:29]	SOCKET 连接创建失败
[2008-04-30 12:39:29]	SOCKET 连接创建失败
[2008-04-30 12:39:29]	SOCKET 连接创建失败
[2008-04-30 12:39:30]	SOCKET 连接创建失败
[2008-04-30 12:39:30]	SOCKET 连接创建失败
[2008-04-30 12:39:30]	SOCKET 连接创建失败
[2008-04-30 12:39:31]	SOCKET 连接创建失败
[2008-04-30 12:39:31]	SOCKET 连接创建失败
[2008-04-30 12:39:32]	SOCKET 连接创建失败
[2008-04-30 12:39:32]	SOCKET 连接创建失败
[2008-04-30 12:39:32]	SOCKET 连接创建失败
[2008-04-30 12:39:33]	SOCKET 连接创建失败
[2008-04-30 12:39:33]	SOCKET 连接创建失败
[2008-04-30 12:39:33]	SOCKET 连接创建失败
[2008-04-30 12:39:33]	SOCKET 连接创建失败
[2008-04-30 12:39:33]	SOCKET 连接创建失败
[2008-04-30 12:39:34]	SOCKET 连接创建失败
[2008-04-30 12:39:34]	SOCKET 连接创建失败
[2008-04-30 12:39:34]	SOCKET 连接创建失败
[2008-04-30 12:39:34]	SOCKET 连接创建失败
[2008-04-30 12:39:35]	SOCKET 连接创建失败
[2008-04-30 12:39:35]	SOCKET 连接创建失败
[2008-04-30 12:39:35]	SOCKET 连接创建失败
[2008-04-30 12:39:35]	SOCKET 连接创建失败
[2008-04-30 12:39:36]	SOCKET 连接创建失败
[2008-04-30 12:39:36]	SOCKET 连接创建失败
[2008-04-30 12:39:36]	SOCKET 连接创建失败
[2008-04-30 12:39:37]	SOCKET 连接创建失败
[2008-04-30 12:39:37]	SOCKET 连接创建失败
[2008-04-30 12:39:38]	SOCKET 连接创建失败
[2008-04-30 12:39:38]	SOCKET 连接创建失败
[2008-04-30 12:39:38]	SOCKET 连接创建失败
[2008-04-30 12:39:38]	SOCKET 连接创建失败
[2008-04-30 12:39:39]	SOCKET 连接创建失败
[2008-04-30 12:39:39]	SOCKET 连接创建失败
[2008-04-30 12:39:39]	SOCKET 连接创建失败
[2008-04-30 12:39:39]	SOCKET 连接创建失败
[2008-04-30 12:39:40]	SOCKET 连接创建失败
[2008-04-30 12:39:40]	SOCKET 连接创建失败
[2008-04-30 12:39:41]	SOCKET 连接创建失败
[2008-04-30 12:39:41]	SOCKET 连接创建失败
[2008-04-30 12:39:41]	SOCKET 连接创建失败
[2008-04-30 12:39:42]	SOCKET 连接创建失败
[2008-04-30 12:39:42]	SOCKET 连接创建失败
[2008-04-30 12:39:42]	SOCKET 连接创建失败
[2008-04-30 12:39:42]	SOCKET 连接创建失败
